city,month,year,date,pollutant,monthly_mean
Sheffield,2023-11-01T00:00:00Z,2023,11/1/2023,pm25,4.888888889
Sheffield,2023-12-01T00:00:00Z,2023,12/1/2023,no2,29.93181818
Sheffield,2023-12-01T00:00:00Z,2023,12/1/2023,o3,9.477272727
Sheffield,2023-12-01T00:00:00Z,2023,12/1/2023,pm10,16.38636364
Sheffield,2023-12-01T00:00:00Z,2023,12/1/2023,pm25,13.04545455
Sheffield,2024-01-01T00:00:00Z,2024,1/1/2024,no2,17.90769231
Sheffield,2024-01-01T00:00:00Z,2024,1/1/2024,o3,48.53846154
Sheffield,2024-01-01T00:00:00Z,2024,1/1/2024,pm10,9.288888889
Sheffield,2024-01-01T00:00:00Z,2024,1/1/2024,pm25,4.755555556
Sheffield,2024-02-01T00:00:00Z,2024,2/1/2024,no2,26.98550725
Sheffield,2024-02-01T00:00:00Z,2024,2/1/2024,o3,39.62318841
Sheffield,2024-02-01T00:00:00Z,2024,2/1/2024,pm10,8.960784314
Sheffield,2024-02-01T00:00:00Z,2024,2/1/2024,pm25,6.31372549
Sheffield,2024-03-01T00:00:00Z,2024,3/1/2024,no2,22.95238095
Sheffield,2024-03-01T00:00:00Z,2024,3/1/2024,o3,46.61904762
Sheffield,2024-03-01T00:00:00Z,2024,3/1/2024,pm10,6.417910448
Sheffield,2024-03-01T00:00:00Z,2024,3/1/2024,pm25,4.776119403
Sheffield,2024-04-01T00:00:00Z,2024,4/1/2024,no2,25.55844156
Sheffield,2024-04-01T00:00:00Z,2024,4/1/2024,o3,39.06493506
Sheffield,2024-04-01T00:00:00Z,2024,4/1/2024,pm10,10.02985075
Sheffield,2024-04-01T00:00:00Z,2024,4/1/2024,pm25,6.701492537
Sheffield,2024-05-01T00:00:00Z,2024,5/1/2024,no2,23.46511628
Sheffield,2024-05-01T00:00:00Z,2024,5/1/2024,o3,46.15116279
Sheffield,2024-05-01T00:00:00Z,2024,5/1/2024,pm10,16.54545455
Sheffield,2024-05-01T00:00:00Z,2024,5/1/2024,pm25,9.121212121
Sheffield,2024-06-01T00:00:00Z,2024,6/1/2024,no2,25.33707865
Sheffield,2024-06-01T00:00:00Z,2024,6/1/2024,o3,35.97777778
Sheffield,2024-06-01T00:00:00Z,2024,6/1/2024,pm10,13.95454545
Sheffield,2024-06-01T00:00:00Z,2024,6/1/2024,pm25,9.454545455
Sheffield,2024-07-01T00:00:00Z,2024,7/1/2024,no2,19.95348837
Sheffield,2024-07-01T00:00:00Z,2024,7/1/2024,o3,38.62790698
Sheffield,2024-07-01T00:00:00Z,2024,7/1/2024,pm10,18.43283582
Sheffield,2024-07-01T00:00:00Z,2024,7/1/2024,pm25,13.31343284
Sheffield,2024-08-01T00:00:00Z,2024,8/1/2024,no2,19.75324675
Sheffield,2024-08-01T00:00:00Z,2024,8/1/2024,o3,37.24675325
Sheffield,2024-08-01T00:00:00Z,2024,8/1/2024,pm10,19.19298246
Sheffield,2024-08-01T00:00:00Z,2024,8/1/2024,pm25,13.10526316
Sheffield,2024-09-01T00:00:00Z,2024,9/1/2024,no2,22.36111111
Sheffield,2024-09-01T00:00:00Z,2024,9/1/2024,o3,40.31944444
Sheffield,2024-09-01T00:00:00Z,2024,9/1/2024,pm10,20.01785714
Sheffield,2024-09-01T00:00:00Z,2024,9/1/2024,pm25,13.30357143
Sheffield,2024-10-01T00:00:00Z,2024,10/1/2024,no2,25.5
Sheffield,2024-10-01T00:00:00Z,2024,10/1/2024,o3,32.3625
Sheffield,2024-10-01T00:00:00Z,2024,10/1/2024,pm10,25.79245283
Sheffield,2024-10-01T00:00:00Z,2024,10/1/2024,pm25,19.73584906
