location_name,datetimeLocal,unit,no2,o3,pm10,pm25
Sheffield Devonshire Green - UKA00575,2011-07-20T23:08:00Z,µg/m³,11,43,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:09:00Z,µg/m³,15,44,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:10:00Z,µg/m³,12,43,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:11:00Z,µg/m³,8,43,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:12:00Z,µg/m³,8,42,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:13:00Z,µg/m³,8,43,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:14:00Z,µg/m³,9,44,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:15:00Z,µg/m³,9,44,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:16:00Z,µg/m³,12,45,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:17:00Z,µg/m³,15,46,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:18:00Z,µg/m³,16,46,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:19:00Z,µg/m³,23,45,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:20:00Z,µg/m³,18,43,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:21:00Z,µg/m³,17,41,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:22:00Z,µg/m³,19,39,7,4
Sheffield Devonshire Green - UKA00575,2011-07-20T23:23:00Z,µg/m³,19,37,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:00:00Z,µg/m³,11,36,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:02:00Z,µg/m³,5,36,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:03:00Z,µg/m³,5,37,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:04:00Z,µg/m³,9,37,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:05:00Z,µg/m³,9,38,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:06:00Z,µg/m³,9,39,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:07:00Z,µg/m³,10,40,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:08:00Z,µg/m³,15,41,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:09:00Z,µg/m³,19,41,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:10:00Z,µg/m³,17,41,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:11:00Z,µg/m³,15,42,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:12:00Z,µg/m³,8,45,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:13:00Z,µg/m³,11,48,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:14:00Z,µg/m³,13,49,7,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:15:00Z,µg/m³,16,50,8,4
Sheffield Devonshire Green - UKA00575,2011-08-20T23:16:00Z,µg/m³,18,50,8,5
Sheffield Devonshire Green - UKA00575,2011-08-20T23:19:00Z,µg/m³,22,45,10,6
Sheffield Devonshire Green - UKA00575,2011-08-20T23:20:00Z,µg/m³,20,42,10,6
Sheffield Devonshire Green - UKA00575,2011-08-20T23:21:00Z,µg/m³,24,37,11,6
Sheffield Devonshire Green - UKA00575,2011-08-20T23:22:00Z,µg/m³,24,33,11,6
Sheffield Devonshire Green - UKA00575,2011-08-20T23:23:00Z,µg/m³,24,31,12,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:00:00Z,µg/m³,9,30,12,6
Sheffield Devonshire Green - UKA00575,2011-09-20T23:02:00Z,µg/m³,11,30,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:03:00Z,µg/m³,11,29,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:04:00Z,µg/m³,8,31,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:05:00Z,µg/m³,8,32,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:07:00Z,µg/m³,8,35,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:08:00Z,µg/m³,19,36,13,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:09:00Z,µg/m³,23,35,14,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:10:00Z,µg/m³,20,36,14,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:11:00Z,µg/m³,15,37,14,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:12:00Z,µg/m³,10,39,14,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:13:00Z,µg/m³,10,42,14,7
Sheffield Devonshire Green - UKA00575,2011-09-20T23:14:00Z,µg/m³,12,44,14,7
