location_name,parameter,value,unit,datetimeLocal
Sheffield Devonshire Green - UKA00575,o3,70,µg/m³,12/24/2023 22:00
Sheffield Devonshire Green - UKA00575,o3,71,µg/m³,12/24/2023 23:00
Sheffield Devonshire Green - UKA00575,o3,72,µg/m³,12/25/2023 0:00
Sheffield Devonshire Green - UKA00575,o3,71,µg/m³,12/25/2023 2:00
Sheffield Devonshire Green - UKA00575,o3,71,µg/m³,12/25/2023 3:00
Sheffield Devonshire Green - UKA00575,o3,70,µg/m³,12/25/2023 4:00
Sheffield Devonshire Green - UKA00575,o3,70,µg/m³,12/25/2023 5:00
Sheffield Devonshire Green - UKA00575,o3,68,µg/m³,12/25/2023 6:00
Sheffield Devonshire Green - UKA00575,o3,68,µg/m³,12/25/2023 7:00
Sheffield Devonshire Green - UKA00575,o3,67,µg/m³,12/25/2023 8:00
Sheffield Devonshire Green - UKA00575,o3,66,µg/m³,12/25/2023 9:00
Sheffield Devonshire Green - UKA00575,o3,65,µg/m³,12/25/2023 10:00
Sheffield Devonshire Green - UKA00575,o3,65,µg/m³,12/25/2023 11:00
Sheffield Devonshire Green - UKA00575,o3,64,µg/m³,12/25/2023 12:00
Sheffield Devonshire Green - UKA00575,o3,64,µg/m³,12/25/2023 13:00
Sheffield Devonshire Green - UKA00575,o3,63,µg/m³,12/25/2023 14:00
Sheffield Devonshire Green - UKA00575,o3,62,µg/m³,12/25/2023 15:00
Sheffield Devonshire Green - UKA00575,o3,63,µg/m³,12/25/2023 16:00
Sheffield Devonshire Green - UKA00575,o3,63,µg/m³,12/25/2023 17:00
Sheffield Devonshire Green - UKA00575,o3,65,µg/m³,12/25/2023 18:00
Sheffield Devonshire Green - UKA00575,o3,66,µg/m³,12/25/2023 19:00
Sheffield Devonshire Green - UKA00575,o3,66,µg/m³,12/25/2023 20:00
Sheffield Devonshire Green - UKA00575,o3,67,µg/m³,12/25/2023 21:00
Sheffield Devonshire Green - UKA00575,o3,68,µg/m³,12/25/2023 22:00
Sheffield Devonshire Green - UKA00575,o3,69,µg/m³,12/25/2023 23:00
