Hull,Hull Freetown - UKA00450,8/29/2025,13.04347826,43.95652174,9.608695652,4,0.9,2025
Hull,Hull Freetown - UKA00450,8/30/2025,11.26864583,38.18025167,10.69565217,5.304347826,1,2025
Hull,Hull Freetown - UKA00450,8/31/2025,4.508645833,48.47173917,10.43478261,4.565217391,0.347826087,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/20/2023,28.13636364,21.09090909,13.27272727,9.704545455,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,7/20/2023,17.39130435,30.56521739,11.60869565,8.130434783,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,8/20/2023,16.09090909,38.52272727,9.954545455,6.386363636,NA,2023
Sheffield,Sheffield Devonshire Green - UKA00575,6/21/2024,25.33707865,35.97777778,13.95454545,9.454545455,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,7/21/2024,19.95348837,38.62790698,18.43283582,13.31343284,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,8/21/2024,19.75324675,37.24675325,19.19298246,13.10526316,NA,2024
Sheffield,Sheffield Devonshire Green - UKA00575,6/1/2025,11.0446875,58.34927875,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/2/2025,50.29875,3.858353333,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/3/2025,19.32456522,60.33955565,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/4/2025,NA,NA,16.29411765,9.117647059,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/5/2025,NA,NA,10.5,5.636363636,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/6/2025,6.906141304,58.76897739,4.454545455,2.090909091,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/7/2025,4.074895833,38.6666875,5.47826087,2.869565217,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/8/2025,7.47826087,48.65217391,14.17391304,7.217391304,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/9/2025,17.33442708,33.34021542,8.086956522,4,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/10/2025,7.814427083,43.77932,10.39130435,5,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/11/2025,26.4435,6.38624,NA,NA,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/13/2025,NA,75.43478261,14.04347826,8.304347826,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/14/2025,NA,67.91102292,12.91304348,7.304347826,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/15/2025,NA,67.70179375,8.52173913,5.130434783,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/16/2025,NA,64.7826087,7.52173913,5.043478261,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/17/2025,7.333333333,75.30434783,13.34782609,8.695652174,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/18/2025,6.473125,70.97003708,12.82608696,8.52173913,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/19/2025,10.19739583,74.61881875,12.13043478,6.826086957,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/20/2025,16.228125,91.60084417,18.7826087,9.695652174,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/21/2025,15.31166667,95.35003792,25.82608696,10.65217391,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/22/2025,5.141354167,72.17433929,16.52173913,8.782608696,NA,2025
Sheffield,Sheffield Devonshire Green - UKA00575,6/23/2025,3.439427083,53.88786833,7.043478261,3.304347826,NA,2025
