location_name,datetimeLocal,unit,no2,o3,pm10,pm25,city,so2
Sheffield Devonshire Green - UKA00575,2024-04-21T00:10:00Z,µg/m³,12,46,4,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:11:00Z,µg/m³,16,46,4,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:12:00Z,µg/m³,20,46,4,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:13:00Z,µg/m³,16,47,5,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:14:00Z,µg/m³,17,47,6,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:15:00Z,µg/m³,20,45,7,3,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:16:00Z,µg/m³,31,42,7,4,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:17:00Z,µg/m³,43,37,8,4,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:18:00Z,µg/m³,45,31,9,4,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:19:00Z,µg/m³,42,26,9,5,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:20:00Z,µg/m³,42,21,11,6,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:21:00Z,µg/m³,40,15,12,7,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:22:00Z,µg/m³,38,10,14,8,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-04-21T00:23:00Z,µg/m³,38,5,14,9,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:00:00Z,µg/m³,34,3,16,10,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:02:00Z,µg/m³,14,7,17,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:03:00Z,µg/m³,14,7,18,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:04:00Z,µg/m³,8,18,18,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:05:00Z,µg/m³,8,21,18,12,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:06:00Z,µg/m³,6,31,18,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:07:00Z,µg/m³,8,38,18,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:08:00Z,µg/m³,11,43,18,11,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:09:00Z,µg/m³,12,43,18,12,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:10:00Z,µg/m³,15,44,18,12,Sheffield,NA
Sheffield Devonshire Green - UKA00575,2024-05-21T00:11:00Z,µg/m³,18,44,18,12,Sheffield,NA
