location_name,datetimeLocal,unit,no2,o3,pm10,pm25,so2
Hull Freetown - UKA00450,2024-05-21T00:14:00Z,µg/m³,14,37,30,12,1
Hull Freetown - UKA00450,2024-05-21T00:15:00Z,µg/m³,20,36,29,12,1
Hull Freetown - UKA00450,2024-05-21T00:16:00Z,µg/m³,19,37,27,11,1
Hull Freetown - UKA00450,2024-05-21T00:17:00Z,µg/m³,29,37,24,11,1
Hull Freetown - UKA00450,2024-05-21T00:18:00Z,µg/m³,24,38,19,10,1
Hull Freetown - UKA00450,2024-05-21T00:19:00Z,µg/m³,16,39,18,10,1
Hull Freetown - UKA00450,2024-05-21T00:20:00Z,µg/m³,18,40,17,10,1
Hull Freetown - UKA00450,2024-05-21T00:21:00Z,µg/m³,26,39,17,10,1
Hull Freetown - UKA00450,2024-05-21T00:22:00Z,µg/m³,14,38,16,9,1
Hull Freetown - UKA00450,2024-06-21T00:00:00Z,µg/m³,15,38,15,8,1
Hull Freetown - UKA00450,2024-06-21T00:02:00Z,µg/m³,8,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:03:00Z,µg/m³,7,40,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:04:00Z,µg/m³,6,40,13,6,1
Hull Freetown - UKA00450,2024-06-21T00:05:00Z,µg/m³,4,42,13,6,1
Hull Freetown - UKA00450,2024-06-21T00:06:00Z,µg/m³,5,42,14,6,1
Hull Freetown - UKA00450,2024-06-21T00:07:00Z,µg/m³,7,42,14,6,1
Hull Freetown - UKA00450,2024-06-21T00:08:00Z,µg/m³,12,41,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:09:00Z,µg/m³,16,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:10:00Z,µg/m³,15,40,14,7,1
Hull Freetown - UKA00450,2024-06-21T00:11:00Z,µg/m³,11,40,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:12:00Z,µg/m³,8,41,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:13:00Z,µg/m³,9,41,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:14:00Z,µg/m³,6,42,13,7,1
Hull Freetown - UKA00450,2024-06-21T00:15:00Z,µg/m³,9,44,12,7,1
Hull Freetown - UKA00450,2024-06-21T00:16:00Z,µg/m³,14,46,12,6,1
Hull Freetown - UKA00450,2024-06-21T00:17:00Z,µg/m³,24,46,11,6,1
Hull Freetown - UKA00450,2024-06-21T00:18:00Z,µg/m³,23,45,11,7,1
Hull Freetown - UKA00450,2024-06-21T00:19:00Z,µg/m³,18,44,11,6,1
Hull Freetown - UKA00450,2024-06-21T00:20:00Z,µg/m³,12,44,11,6,1
Hull Freetown - UKA00450,2024-07-21T00:00:00Z,µg/m³,5,49,10,6,1
Hull Freetown - UKA00450,2024-07-21T00:03:00Z,µg/m³,3,61,10,5,1
Hull Freetown - UKA00450,2024-07-21T00:04:00Z,µg/m³,3,63,9,5,1
Hull Freetown - UKA00450,2024-07-21T00:05:00Z,µg/m³,4,63,9,5,1
Hull Freetown - UKA00450,2024-07-21T00:06:00Z,µg/m³,4,64,9,5,1
Hull Freetown - UKA00450,2024-07-21T00:07:00Z,µg/m³,4,64,9,5,1
Hull Freetown - UKA00450,2024-07-21T00:08:00Z,µg/m³,11,63,9,5,0
Hull Freetown - UKA00450,2024-07-21T00:09:00Z,µg/m³,15,61,9,5,0
Hull Freetown - UKA00450,2024-07-21T00:10:00Z,µg/m³,16,59,9,5,0
Hull Freetown - UKA00450,2024-07-21T00:11:00Z,µg/m³,11,58,9,5,1
Hull Freetown - UKA00450,2024-07-21T00:12:00Z,µg/m³,8,57,10,5,1
Hull Freetown - UKA00450,2024-07-21T00:13:00Z,µg/m³,4,58,10,5,1
Hull Freetown - UKA00450,2024-07-21T00:14:00Z,µg/m³,4,59,10,5,1
Hull Freetown - UKA00450,2024-07-21T00:15:00Z,µg/m³,6,60,11,5,1
Hull Freetown - UKA00450,2024-07-21T00:16:00Z,µg/m³,18,60,11,5,1
Hull Freetown - UKA00450,2024-07-21T00:17:00Z,µg/m³,29,59,12,6,1
Hull Freetown - UKA00450,2024-07-21T00:18:00Z,µg/m³,22,60,13,6,1
Hull Freetown - UKA00450,2024-07-21T00:19:00Z,µg/m³,25,61,15,8,1
Hull Freetown - UKA00450,2024-07-21T00:21:00Z,µg/m³,34,54,16,9,1
Hull Freetown - UKA00450,2024-07-21T00:22:00Z,µg/m³,28,51,17,9,1
Hull Freetown - UKA00450,2024-07-21T00:23:00Z,µg/m³,29,47,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:00:00Z,µg/m³,26,44,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:01:00Z,µg/m³,17,44,17,10,0
Hull Freetown - UKA00450,2024-08-21T00:02:00Z,µg/m³,12,44,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:03:00Z,µg/m³,12,42,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:04:00Z,µg/m³,4,46,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:05:00Z,µg/m³,4,50,17,10,0
Hull Freetown - UKA00450,2024-08-21T00:06:00Z,µg/m³,8,53,17,10,0
Hull Freetown - UKA00450,2024-08-21T00:07:00Z,µg/m³,14,56,17,10,0
Hull Freetown - UKA00450,2024-08-21T00:08:00Z,µg/m³,24,59,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:09:00Z,µg/m³,22,60,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:10:00Z,µg/m³,16,61,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:11:00Z,µg/m³,15,62,17,10,1
Hull Freetown - UKA00450,2024-08-21T00:12:00Z,µg/m³,13,62,18,10,1
Hull Freetown - UKA00450,2024-08-21T00:13:00Z,µg/m³,14,62,18,11,1
